ГруппаВакансий,ОпытРаботы,НазваниеДолжности,КлючевыеТребования,Знания,Навыки,Опыт
Frontend-разработчик,1-3 года,HTML-верстальщик,"[""HTML"", ""CSS"", ""JavaScript"", ""React"", ""Git""]","[""уверенное владение HTML и CSS"", ""знакомство с React"", ""умение работать с системой контроля версий Git""]","[""заниматься адаптивной кроссбраузерной версткой на основе дизайн-макетов""]","[""релевантный опыт от 1 года"", ""опыт кроссбраузерной верстки""]"
Frontend-разработчик,1-3 года,Frontend developer,"[""JavaScript"", ""React"", ""CSS"", ""модульное и интеграционное тестирование"", ""кроссбраузерный код"", ""паттерны проектирования кода"", ""Redux""]","[""JavaScript и React"", ""паттерны проектирования кода"", ""кроссбраузерный код"", ""модульное и интеграционное тестирование"", ""Стэк: React, React-router, Context, Hooks, Redux, Redux-Saga, NextJS, Typescript""]","[""сократить время от разработки до выкатки в прод"", ""писать код, который легко понимать, менять, переиспользовать"", ""писать код, который работает на всех возможных платформах""]",
Frontend-разработчик,1-3 года,Верстальщик сайтов,"[""CSS"", ""HTML"", ""Блочная верстка"", ""Валидная верстка"", ""MySQL"", ""JavaScript"", ""SQL"", ""Верстка"", ""UX"", ""UI"", ""SEO"", ""XML"", ""Web-дизайн"", ""Поисковая оптимизация сайтов""]","[""Желательно знание js. Обязательно знание Figma""]","[""Верстка страниц сайтов, элементов, модулей сайта по БЭМ/flex..."", ""Верстка рассылок"", ""Верстка по макетам"", ""Частично тестирование новых разработок, проверка кода, скорости загрузки"", ""Умение верстать адаптивно - обязательно""]",
Frontend-разработчик,1-3 года,Front-end разработчик,"[""JS"", ""Typescript"", ""frontend разработка"", ""Vue 3"", ""Git"", ""PWA"", ""GQL"", ""Понимание концепции микрофронтендов""]","[""Хорошие знания JS и Typescript"", ""Знание или понимание работы с Vue 3""]","[""Умение применять на практике функциональный и ОО-подходы"", ""Понимание agile-методологии при разработке ПО"", ""Понимание концепции микрофронтендов и модульных фронтов"", ""Желательно понимание вычислительной геометрии для реализации задач отображения геоданных""]","[""Опыт разработки frontend приложений от 2 лет"", ""Опыт работы с Git"", ""Опыт разработки PWA"", ""Опыт работы с GQL"", ""Опыт построения многоязычных приложений, работа с механизмами локализации и интернационализации"", ""Желателен опыт/понимание принципов работы с картографией и ГИС-системами""]"
Frontend-разработчик,1-3 года,HTML-верстальщик,"[""HTML"", ""CSS"", ""Кроссбраузерная верстка"", ""HTML-верстка"", ""PHP""]","[""Уверенное знание HTML, CSS"", ""Базовые знания PHP, jQuery, Java Script""]","[""Адаптивная, валидная и кроссбраузерная верстка"", ""Умение скачивать уже готовые сайты конкурентов"", ""Умение работать в трекерах (Binom, Keitaro)"", ""Базовое владение Adobe Photoshop (на уровне кадрирования/изменения размеров изображений и прочих простейших задач, необходимых верстальщику)""]","[""Опыт работы в CPA сфере""]"
Frontend-разработчик,1-3 года,Junior iOS Developer,"[""Swift"", ""Git"", ""iOS"", ""REST"", ""UIKit""]","[""Знание Swift и ООП"", ""Знание iOS SDK, основных фреймворков (Foundation, UIKit, CoreData и др.) и особенностей различных версий iOS""]","[""Владение системами контроля версии (Git)"", ""Английский на уровне чтения технической документации"", ""Разработка мобильных приложений под iOS для наших заказчиков"", ""Выбор архитектурных решений и применение их на практике""]","[""Опыт интеграции с сервером по REST API""]"
Frontend-разработчик,1-3 года,Frontend middle/senior developer,"[""frontend: React"", ""СI/CD: GitLab"", ""backend: .NET""]","[""Знание, как хранить и управлять стейтом приложения (MobX или Redux)"", ""Понимание, как взаимодействуют фронтенд и бэкенд: HTTP, WebSocket, REST""]","[""Умение превратить макет из Figma в интерактивный интерфейс"", ""Написание поддерживаемого кода""]","[""Опыт работы""]"
Frontend-разработчик,1-3 года,Junior FrontEnd Developer,,"[""Знание JavaScript / TypeScript"", ""Знание HTML5 и CSS3, CSS-препроцессоры"", ""Понимание принципов Rest API""]",,"[""Опыт коммерческой разработки на React от 1года"", ""Опыт работы с Git"", ""Опыт работы с Webpack"", ""Опыт работы"", ""Опыт работы с Docker (Вы можете поднять бекенд по мануалу)"", ""Опыт работы с WebSocket""]"
Frontend-разработчик,1-3 года,IOS developer,,"[""Понимание жизненного цикла приложения"", ""Понимание жизненного цикла ViewController"", ""Типы коллекций в Swift, оптимальность использования"", ""Знание Promise, GCD, Memory Management""]","[""Умение разбираться в чужом коде и вносить в него изменения, рефакторинг без потери функциональности"", ""Работа с модульными проектами"", ""Уверенная работа с Constraints, из кода, из Interface Builder"", ""Работа с подходами на базе кодогенерации - xcodegen""]","[""Опыт работы в аутсорс компаниях обязателен. Минимум от 2х лет в разработке"", ""Опыт Unit/UI тестов"", ""Опыт с BDU (backen driven UI) подходом""]"
Frontend-разработчик,1-3 года,Frontend разработчик Vue.js,,"[""Уверенное знание JavaScript и TypeScript"", ""Понимание принципов работы REST"", ""Желательно знания в области тестирования веб-приложения (Unit/E2E-тесты)""]","[""Уверенное владение фреймворком Vue.js 3, написание стабильных компонентов, обработка ошибок"", ""Уверенный пользователь Linux""]",
Frontend-разработчик,1-3 года,Верстальщик,,"[""Уверенное знание: PHP, HTML, JS, CSS"", ""Уверенное понимание процессов веб-разработки"", ""Знания JavaScript, jQuery, Bootstrap""]","[""Photoshop на уровне нарезки макетов"", ""Валидная кроссбраузерная верстка""]","[""Опыт разработки проектов на продукте 1С-Битрикс"", ""Опыт работы с Yii2, Laravel, Vue, React""]"
Frontend-разработчик,1-3 года,Веб-мастер,"[""HTML"", ""CSS3"", ""Адаптивная верстка"", ""PHP"", ""Верстка"", ""Bootstrap"", ""CMS Wordpress"", ""Joomla CMS"", ""1С-Битрикс""]","[""Знание PHP, MySQL, HTML, CSS, JavaScript (jQuery, Ajax)"", ""Базовые знания HTML и CSS""]","[""Умение разбираться в чужом коде""]","[""опыт работы с 1С-Битрикс""]"
Frontend-разработчик,1-3 года,Frontend Developer (Middle),"[""JavaScript"", ""React"", ""Redux"", ""CSS3+"", ""HTML5+"", ""CI/CD"", ""Redux-saga"", ""Styled-components"", ""TypeScript""]","[""Уверенные знания в JavaScript, CSS, HTML""]","[""Умеешь пользоваться Git""]","[""опыт работы с React + Redux, с TypeScript""]"
Frontend-разработчик,1-3 года,Middle React/TypeScript разработчик,"[""JavaScript"", ""Git"", ""React"", ""TypeScript"", ""ES6+"", ""Redux"", ""REST API""]","[""уверенное знание JavaScript, TypeScript, React, Redux, ES6+"", ""понимание принципов работы REST API"", ""знание принципов работы с базами данных""]","[""владение инструментами для контроля версий, такими как Git"", ""высокое качество сверстанных html/css элементов""]","[""опыт выполнения верстки сайтов различного уровня сложности, включая мобильную и адаптивную верстку"", ""опыт работы с инструментами разработки для React и Redux"", ""опыт работы с GraphQL, Node.js, Express.js"", ""опыт работы с инструментами для автоматического тестирования (Jest, Mocha, etc)""]"
Frontend-разработчик,1-3 года,FrontEnd/JavaScript Разработчик,"[""Аналитическое мышление"", ""Vue"", ""Vuex"", ""TypeScript"", ""websocket"", ""puppeteer"", ""Node.js"", ""browser automation""]",,"[""разработка новых компонентов и улучшение старых на Vue (vue-class-component) + Vuex"", ""написание тестов к компонентам на jest"", ""рефакторинг старого кода и подготовка к переходу на vue 3"", ""доработка библиотеки графовой визуализации на WebGL"", ""написание скриптов для puppeteer для парсинга вебсайтов (в том числе работающих на javascript)""]",
Frontend-разработчик,1-3 года,Front-end разработчик (middle/senior) удаленно,"[""React, MobX, HTML5, CSS, Sass"", ""Jest, Cypress"", ""Webpack"", ""код eslint/prettier""]","[""Знание отличий между flex и grid, в чем отличие и когда лучше использовать""]","[""Аккуратная, cross-браузерная верстка с использованием pixelPerfect""]","[""Опыт работы с Webpack, Git (rebase, cherry-pick, e.t.c)"", ""Опыт работы в разработке UIKit""]"
Frontend-разработчик,1-3 года,HTML-верстальщик,"[""Vue.js"", ""JavaScript"", ""HTML5"", ""CSS3"", ""Адаптивная верстка"", ""Блочная верстка""]","[""Твердые знания HTML5, CSS3"", ""Базовые знания JavaScript (типы переменных, циклы, массивы)"", ""Частичное знание vue.js (components, props, slots) на уровне понимания, что это и для чего, либо опыт работы с любым другим JavaScript-фреймворком (React/Angular) или шаблонизатором""]","[""Кроссплатформенная и адаптивная верстка для последних версий браузеров"", ""Умение работать с препроцессором SASS"", ""Понимание методологии БЭМ и умение её применять"", ""Умение пользоваться системами контроля версий, в частности Git"", ""Базовые навыки работы с node.js (установить/обновить/собрать проект)""]",
Frontend-разработчик,1-3 года,HTML-верстальщик,"[""JavaScript"", ""CSS3"", ""Adobe InDesign"", ""React"", ""Кроссбраузерная верстка"", ""MySQL"", ""jQuery""]","[""Отличные знания HTML5, CSS3"", ""Отличные знания верстки (flex, grid)"", ""Понимание методологии BEM"", ""Знания JavaScript и библиотек (jQuery), DOM""]",,"[""Опыт работы с Pug, SCSS и Gulp"", ""Опыт работы с макетами Figma"", ""Опыт кроссбраузерной, адаптивной, семантической верстки""]"
Frontend-разработчик,1-3 года,Frontend-разработчик (React),,"[""Знание React / Redux"", ""Знания HTML / CSS"", ""Знание JavaScript (es6+)"", ""Знание RESTful API"", ""Знание и понимание паттернов проектирования""]","[""Умение работать с Git""]","[""Опыт коммерческой разработки от 2 лет""]"
Frontend-разработчик,1-3 года,Front-end разработчик,"[""Vue.js"", ""React.js"", ""JavaScript"", ""Django Framework"", ""PostGIS"", ""MySQL""]","[""Отличные знания JavaScript (ES6+) и TypeScript"", ""Понимание принципов адаптивной и кросс-браузерной разработки фронтенда"", ""Знание тестирования и отладки приложений""]",,"[""Опыт работы с React и React Query"", ""Опыт разработки с использованием REST API"", ""Опыт использования git в команде"", ""Опыт использования картографических библиотек, таких как Leaflet и maplibre-gl"", ""Опыт применения SCSS"", ""Опыт написания библиотеки UI компонентов""]"
Frontend-разработчик,1-3 года,Верстальщик,"[""HTML"", ""CSS"", ""JavaScript"", ""Figma"", ""Английский — A1 — Начальный""]","[""Знание профильного ПО: Figma, Visual Studio Code"", ""Знание HTML,CSS,JS"", ""Понимание работы клоакинга, автоподставление макросов в Keitaro"", ""Базовое понимание принципов работы REST API""]","[""умение написать свой скрипт/работать с готовыми"", ""Умение оптимизации лендингов по параметрам Google Lighthouse (не менее 90% по каждому пункту)"", ""Умение поддерживать единообразие верстки макетов""]","[""Опыт работы с CPA-сетями (от 1 года)"", ""Опыт работы с конструкторами сайтов, включая Tilda""]"
Frontend-разработчик,1-3 года,Верстальщик,"[""HTML"", ""PHP"", ""JavaScript"", ""Верстка""]","[""знание html, php"", ""будет плюсом знание java script""]",,"[""опыт работы в Wordpress и Getcourse""]"
Frontend-разработчик,1-3 года,IOS разработчик,,"[""Базовые знание Swift, UIKit и основных библиотек"", ""Широкий кругозор в области мобильной разработки и смежных направлений""]","[""умение работать с Combine, SwiftUI"", ""Умение работать в Xcode, с Git"", ""Умение работать в командной строке Unix подобных систем""]","[""Опыт профессиональной разработки под IOS/ iPadOS/tvOS от года""]"
Frontend-разработчик,1-3 года,Frontend-разработчик (middle),,"[""Уверенное знание Vue, JavaScript и TypeScript"", ""Уверенное знание HTML и CSS"", ""Понимание общих принципов и подходов к проектированию""]","[""Умение разбираться в чужом коде"", ""Умение работать с системой контроля версий Git""]","[""Опыт написания Single Page Applications"", ""Опыт проектирования и рефакторинга"", ""Опыт работы с WebSocket (socket.io)"", ""Опыт разработки на Angular, React"", ""опыт использования REST или аналоги"", ""опыт работы в методологии Agile/Scrum""]"
Frontend-разработчик,1-3 года,Middle Unity-разработчик,"[""ECS"", ""Unity"", ""MonoBehaviour""]",,"[""Умение писать код в Unity, используя MonoBehaviour только для визуала""]","[""Опыт работы с ECS (в идеале Unity.Entities)"", ""Опыт работы с UniTask (никаких короутин)"", ""Опыт работы с сетевой частью (кооперативные игры)"", ""Опыт работы с Spine"", ""Опыт работы с Addressables"", ""Опыт работы с DI контейнерами"", ""Опыт работы с Odin""]"
Frontend-разработчик,нет опыта,Frontend-разработчик,"[""JavaScript"", ""Git"", ""CSS"", ""PHP"", ""HTML"", ""Vue.js""]","[""знание HTML, JS, CSS, SCSS, Vue.js"", ""знание Php, Git, Node.JS + NPM + Gulp + Webpack, Bootstrap""]",,
Frontend-разработчик,нет опыта,ModX (веб\html) разработчик,"[""ModX"", ""умение и желание обучаться""]",,,"[""Опыт работы с ModX"", ""Опыт написания новых и модификации имеющихся сниппетов"", ""опыт написания чанков с вызовом сниппетов"", ""Опыт работы или понимание верстки HTML5, CSS3, (Flexbox, Grid Layout, Media Queries""]"
Frontend-разработчик,1-3 года,Middle Frontend-разработчик (Vue),"[""Sass"", ""CSS3"", ""HTML5"", ""JavaScript"", ""БЭМ"", ""Git"", ""Gulp"", ""Webpack"", ""vue"", ""vuex"", ""ES6""]","[""знали HTML5 + CSS3 (адаптивность, вёрстка под мобильные, CSS-препроцессоры - SCSS)"", ""знали Javascript (ES6 и выше, модули, классы)"", ""умели писать фронтенд на Vue.js + Vuex (другие фреймворки и стейт-менеджеры плюсом тоже приветствуются)"", ""умели продумывать сложные пользовательские интерфейсы, понимали что такое UX"", ""осознавали процесс взаимодействия с бэкендом, могли в команде продумывать лучшие решения для проекта"", ""применяли в своей работе методологию БЭМ"", ""использовали Git и системы сборки фронта (Gulp/Webpack/Vite/etc), могли сами всё настроить с нуля""]",,
Frontend-разработчик,1-3 года,Junior frontend JS / React developer разработчик,"[""GitHub"", ""CSS3"", ""React"", ""TypeScript"", ""Angular"", ""Vue.js"", ""HTML5"", ""Java Script"", ""Frontend""]","[""React до 2х лет"", ""Знание JavaScript / TypeScript (деструктуризация, промисы, работа с объектами, fetch, прототипы, event loop и т.д.)"", ""Понимание принципов и опыт работы хотя бы с одним Frontend фреймворком (React, Angular, Vue.js или другие)"", ""Опыт с Git, Github"", ""Знание HTML5 и CSS3, CSS-препроцессоры""]",,
Frontend-разработчик,1-3 года,"Frontend-разработчик Junior
","[""HTML"", ""JavaScript"", ""CSS"", ""jQuery"", ""Vue.js"", ""BEM""]","[""Знание HTML, CSS, JavaScript"", ""Знание jQuery"", ""Компонентная верстка (BEM)"", ""Умение разбираться в чужом коде"", ""Умение работать в команде разработчиков и с дизайнерами"", ""Будет плюсом знанием vue.js""]",,
